sRNA_ID	HCd120_1	HCd120_2	HCd120_3	HCd60_1	HCd60_2	HCd60_3	HCd90_1	HCd90_2	HCd90_3	PDd120_1	PDd120_2	PDd120_3	PDd60_1	PDd60_2	PDd60_3	PDd90_1	PDd90_2	PDd90_3	PSPd120_1	PSPd120_2	PSPd120_3	PSPd60_1	PSPd60_2	PSPd60_3	PSPd90_1	PSPd90_2	PSPd90_3
hsa-miR-11399	0	0	0	4	0	0	0	0	0	2	0	0	1	0	2	1	0	0	1	0	1	0	1	0	2	0	0
hsa-miR-11400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
hsa-miR-11401	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	1	1	0	1	0	1	0	1	3	2	2	1
hsa-miR-1178-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	2	0
hsa-miR-1179	30	21	35	19	7	22	27	44	34	40	18	19	22	14	16	55	39	36	26	34	58	14	23	14	54	15	46
hsa-miR-1180-3p	1000	977	1337	1856	931	1868	1515	1883	1226	1242	973	1089	1569	804	1831	2610	2001	1472	1203	1392	1563	934	1466	1471	1385	1353	1937
hsa-miR-1180-5p	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1
hsa-miR-1184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-1185-1-3p	14	11	7	70	56	66	27	43	34	23	9	27	48	19	85	40	27	25	7	9	15	13	13	15	3	15	13
hsa-miR-1185-2-3p	8	8	7	48	17	57	22	25	22	17	11	12	31	12	62	23	14	18	6	7	13	11	16	10	0	9	5
hsa-miR-1185-5p	1	0	1	3	2	2	3	3	1	4	0	2	3	2	3	6	2	6	1	0	5	3	2	1	0	1	5
hsa-miR-1193	0	0	0	0	0	0	1	0	0	0	4	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-1197	15	24	23	119	42	95	48	49	39	53	20	28	236	83	270	105	87	77	51	52	42	35	147	125	29	32	80
hsa-miR-12114	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	1
hsa-miR-12119	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12125	0	0	2	1	0	0	0	1	2	0	0	0	0	0	3	3	1	0	1	0	1	0	0	0	0	0	1
hsa-miR-12129	0	0	1	2	0	2	0	1	0	0	0	0	0	0	0	1	0	2	1	0	0	0	2	1	1	1	1
hsa-miR-12132	0	0	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12136	271	346	508	185	42	209	176	245	94	124	81	92	49	9	61	155	154	98	152	208	165	14	33	52	106	65	138
hsa-miR-122-3p	6	3	5	0	0	2	2	1	2	3	0	0	6	3	10	10	14	4	4	4	1	0	4	3	0	0	2
hsa-miR-122-5p	11	12	345	46	37	66	36	65	57	73	87	67	58	372	58	109	31	28	15	25	15	19	15	15	19	397	36
hsa-miR-1224-3p	0	0	2	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-1224-5p	43	42	57	26	4	18	38	55	23	88	90	94	33	20	30	115	124	79	133	122	129	24	32	45	139	136	117
hsa-miR-1225-3p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1225-5p	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1226-3p	34	58	58	95	45	122	68	95	47	44	37	28	98	38	101	136	98	82	57	91	99	61	101	142	56	67	105
hsa-miR-1226-5p	9	6	6	4	4	3	0	1	0	5	0	4	6	6	4	5	5	0	2	3	1	2	4	5	3	1	5
hsa-miR-1227-3p	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	4	1	0	2
hsa-miR-1228-3p	2	1	6	1	0	2	0	2	4	1	0	1	5	0	3	0	4	3	1	1	1	0	2	1	1	2	1
hsa-miR-1228-5p	1	0	1	0	0	1	1	2	0	5	4	8	1	0	8	5	3	2	0	1	0	0	1	2	1	0	1
hsa-miR-1229-3p	10	1	11	4	1	4	9	11	4	3	2	2	2	3	1	2	4	3	5	3	12	3	4	4	2	3	2
hsa-miR-1229-5p	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0
hsa-miR-122b-3p	11	12	345	46	37	66	36	65	57	73	87	67	58	372	58	109	31	28	15	25	15	19	15	15	19	396	36
hsa-miR-122b-5p	6	3	6	0	0	2	4	1	3	5	2	1	9	3	12	12	20	8	4	4	1	3	4	3	1	4	4
hsa-miR-1233-3p	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-1234-3p	0	2	0	2	2	5	0	0	0	2	1	0	2	0	4	2	2	3	1	0	3	0	0	0	0	6	0
hsa-miR-1236-3p	0	2	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0
hsa-miR-1236-5p	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
hsa-miR-1237-3p	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	3	3
hsa-miR-1238-3p	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0
hsa-miR-124-3p	8444	9561	13018	4878	1790	5168	13003	17352	8646	17068	7614	10207	6473	1823	8691	43103	32361	20212	38981	46075	44251	3648	11515	11557	30700	22522	49204
hsa-miR-124-5p	2060	1893	2470	2000	1098	1905	1576	1893	1330	940	467	587	1959	789	2685	2644	1894	1641	2179	2505	2766	1171	3019	3081	1299	1126	3385
hsa-miR-1243	7	3	21	11	4	30	18	27	16	4	3	5	6	3	5	7	9	10	8	6	8	10	12	4	4	4	4
hsa-miR-1244	7	2	3	3	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
hsa-miR-1245a	0	0	0	0	0	0	0	1	0	14	4	10	5	0	3	13	15	4	0	0	0	0	0	0	0	0	0
hsa-miR-1245b-3p	0	0	0	0	0	0	0	0	0	19	22	11	13	4	7	16	19	9	0	0	0	0	0	0	0	0	0
hsa-miR-1245b-5p	0	0	0	0	0	0	0	0	0	10	2	6	2	0	1	7	11	3	1	0	0	0	0	0	0	0	0
hsa-miR-1246	39125	47607	66869	8563	2071	8831	15893	20963	11307	787	740	750	3968	1759	4302	1640	1275	754	7730	9186	8242	13309	14725	16871	21466	11764	7941
hsa-miR-1247-3p	175	168	225	347	145	357	150	177	131	123	123	109	378	212	489	88	73	49	32	35	52	165	184	209	16	56	39
hsa-miR-1247-5p	6	1	13	31	12	51	9	12	5	40	28	27	78	44	80	43	49	28	12	14	9	19	25	38	8	15	14
hsa-miR-1248	83	61	92	157	144	152	202	242	200	26	14	12	22	18	27	21	12	7	19	9	13	10	26	23	8	10	17
hsa-miR-1249-5p	48	43	38	18	13	12	21	18	20	1	0	2	6	10	6	6	4	8	4	3	1	0	0	3	6	2	14
hsa-miR-1250-5p	143	169	220	516	229	570	295	375	279	191	86	107	452	237	623	344	259	202	169	208	242	298	398	471	251	145	209
hsa-miR-1251-3p	14	10	18	21	2	19	11	21	12	5	5	5	12	7	12	12	14	9	16	12	25	2	15	5	15	7	18
hsa-miR-1251-5p	276	304	453	555	210	560	419	590	334	238	212	168	495	311	623	519	412	248	406	576	542	449	440	400	872	512	410
hsa-miR-1252-3p	3	0	10	2	0	3	2	1	0	1	0	0	0	0	0	2	3	0	0	2	1	1	4	0	0	1	6
hsa-miR-1252-5p	76	66	112	53	51	57	80	93	70	96	71	52	65	51	77	209	193	151	93	102	111	31	68	54	108	143	145
hsa-miR-1253	0	0	1	0	2	1	2	2	0	3	0	2	3	1	0	2	1	0	1	5	0	0	0	0	0	0	2
hsa-miR-1255a	1	5	4	5	7	5	4	1	3	0	3	4	19	17	15	3	3	8	0	0	1	1	0	3	0	0	0
hsa-miR-1255b-5p	0	0	3	0	0	0	0	0	0	0	0	0	2	3	0	1	0	0	1	1	3	0	1	0	0	0	0
hsa-miR-1256	2	0	1	1	0	1	1	0	0	2	0	1	1	1	1	4	0	2	1	3	0	0	0	2	1	0	1
hsa-miR-1257	8	10	14	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	8	0	0	0
hsa-miR-1258	0	0	1	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0
hsa-miR-125a-3p	162	150	214	174	77	179	148	254	127	201	144	124	253	115	283	302	279	139	182	200	179	143	196	217	188	210	244
hsa-miR-125a-5p	5395	4560	3843	11096	7913	11091	10525	12193	8951	17906	11646	16912	15332	9769	20459	49138	34765	29832	9776	11167	12300	4428	8255	9508	7122	15726	26250
hsa-miR-125b-1-3p	1656	1711	2341	1386	524	1371	1503	1894	1232	1681	1522	1801	2298	1451	2450	3834	2875	2231	2003	2603	2584	1250	1243	1573	1468	2491	2391
hsa-miR-125b-2-3p	13523	13487	17625	6378	3129	5904	7406	9114	6382	6217	4685	5016	6197	3516	7671	14629	11169	8888	6220	7178	7591	2681	3813	4182	4300	8290	8043
hsa-miR-125b-5p	34966	37869	52220	41674	24743	42418	60897	74174	49004	85325	51483	67736	61535	33136	79105	252934	187716	146834	78908	92319	99002	21761	41921	45573	60699	99284	177644
hsa-miR-126-3p	843	893	1264	1162	583	1238	1373	1585	1045	3163	2178	2716	1363	901	1512	3536	2564	1910	2882	3366	3692	820	1099	1174	2915	2656	3174
hsa-miR-126-5p	68	58	67	53	25	58	62	75	40	74	22	32	35	13	36	77	60	58	90	89	98	8	37	33	47	31	141
hsa-miR-1260a	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-1260b	253	345	640	71	14	75	98	208	81	49	10	33	9	7	13	22	17	4	17	16	11	8	6	3	4	5	13
hsa-miR-1262	67	65	77	194	153	231	146	197	119	97	109	100	147	104	162	266	201	163	68	82	83	95	67	85	131	95	68
hsa-miR-1263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1
hsa-miR-1264	33	36	55	18	20	17	37	39	28	27	17	16	8	2	18	22	26	21	20	18	35	3	4	6	8	6	20
hsa-miR-1265	4	4	6	0	0	0	0	0	1	1	0	1	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0
hsa-miR-1266-3p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1266-5p	24	19	24	44	30	56	35	40	25	1	13	5	13	14	11	2	5	7	4	8	4	8	11	13	0	6	2
hsa-miR-1267	4	5	3	4	5	5	8	6	8	0	2	7	7	8	9	26	11	5	2	2	11	0	2	5	2	3	8
hsa-miR-1268a	0	9	1	0	0	1	0	0	0	3	0	6	5	0	0	0	3	0	2	0	0	1	1	0	2	0	0
hsa-miR-1269a	31	36	38	53	6	24	6	8	5	70	66	70	1969	1202	2290	575	448	331	140	161	181	97	138	124	128	37	43
hsa-miR-1269b	64	65	107	17	10	15	3	6	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	4	3	1
hsa-miR-127-3p	758	820	1164	6763	2987	6774	4283	5165	3424	6735	4656	4879	12476	7542	21916	9285	6685	5734	1400	1501	1717	1664	3046	3150	1924	1188	1647
hsa-miR-127-5p	39	37	37	189	115	161	127	156	123	220	176	155	436	211	613	350	302	254	103	100	121	78	182	159	106	79	114
hsa-miR-1270	11	11	24	17	9	16	23	24	5	13	7	19	31	19	32	30	10	30	13	26	18	24	25	29	12	14	27
hsa-miR-1271-3p	0	1	3	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-1271-5p	876	820	1163	899	414	909	865	1039	733	1384	818	1077	1101	472	1486	2961	2120	1625	1127	1316	1360	431	666	836	1130	1003	1541
hsa-miR-1272	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1273c	2	3	2	1	5	2	5	3	1	0	0	0	5	3	3	3	3	0	0	2	0	0	0	0	0	2	2
hsa-miR-1273h-3p	0	1	2	5	5	3	3	3	3	11	1	13	6	2	6	10	4	10	6	9	8	0	1	2	2	5	11
hsa-miR-1273h-5p	0	0	4	2	0	0	1	0	0	2	1	3	3	1	2	2	2	2	1	1	0	2	1	0	0	0	2
hsa-miR-1275	1	4	3	0	0	2	0	0	0	0	3	4	0	0	1	0	0	0	1	0	0	0	0	2	2	0	2
hsa-miR-1276	26	21	29	71	33	49	13	51	25	9	8	14	79	41	80	43	31	38	9	15	25	24	30	37	21	33	23
hsa-miR-1277-3p	0	1	5	3	0	3	2	8	2	4	4	3	0	2	2	5	2	0	3	5	0	2	1	2	2	0	3
hsa-miR-1277-5p	12	5	11	23	19	21	16	11	15	17	7	9	21	12	27	20	17	8	5	19	12	19	25	17	6	7	24
hsa-miR-1278	29	24	36	43	12	52	42	33	39	29	16	30	32	25	50	32	41	16	10	9	19	19	21	32	35	24	15
hsa-miR-128-1-5p	314	311	383	302	127	275	247	266	198	385	276	302	309	173	340	582	441	360	469	529	563	253	297	344	425	505	441
hsa-miR-128-2-5p	3	10	11	0	0	0	2	7	0	9	17	10	4	4	5	11	12	7	10	6	16	0	0	5	1	9	4
hsa-miR-128-3p	17861	15857	22573	17279	8204	16982	21335	25941	16640	33831	24705	33507	22201	12883	26978	50375	37913	28910	19320	22964	24373	10375	15356	16588	22244	23856	26645
hsa-miR-1283	0	0	0	0	0	6	0	2	2	1	1	0	1	0	0	2	1	0	0	1	1	1	0	3	1	4	1
hsa-miR-1284	10	10	7	19	12	19	5	13	11	1	2	2	10	3	11	14	8	3	1	0	2	6	7	6	1	6	4
hsa-miR-1285-3p	19	19	16	25	14	23	28	12	21	12	17	15	22	23	29	36	23	4	10	12	13	15	21	44	5	12	28
hsa-miR-1285-5p	2	7	10	1	0	5	3	4	0	2	0	1	2	3	5	1	0	0	3	2	2	1	6	3	1	1	3
hsa-miR-1286	92	104	123	127	35	118	77	79	55	51	22	22	69	17	67	119	89	67	42	72	47	12	65	57	35	46	78
hsa-miR-1287-3p	5	4	5	1	2	1	3	4	5	7	6	2	0	3	1	3	1	0	1	0	2	2	2	0	3	1	5
hsa-miR-1287-5p	235	206	278	411	200	368	402	506	338	200	126	165	240	141	300	438	304	240	115	127	145	88	179	208	122	106	192
hsa-miR-1288-3p	26	17	20	42	10	31	17	47	25	20	19	7	29	20	32	30	24	22	17	28	22	31	27	11	55	47	25
hsa-miR-1288-5p	0	0	2	1	0	1	0	4	0	1	0	4	1	1	0	2	0	5	0	0	1	0	0	0	2	1	2
hsa-miR-1289	4	5	4	4	1	7	2	5	1	1	3	2	3	2	8	12	8	1	2	2	5	0	6	4	0	4	0
hsa-miR-129-1-3p	965	956	1240	119	93	126	377	468	318	213	189	174	105	66	130	618	619	370	715	816	771	40	55	60	186	479	790
hsa-miR-129-2-3p	4956	4448	5895	2676	1834	2564	3581	4555	3246	2535	1919	2103	2316	1661	2846	8391	8271	5545	7314	8594	9457	366	463	569	966	5101	8359
hsa-miR-129-5p	45680	44013	57206	54209	26629	53029	54322	64965	46730	159780	141834	129075	73461	52761	85508	209861	155577	130562	245595	277936	319371	46679	49201	52534	235097	251543	204887
hsa-miR-1290	0	0	7	2	0	2	3	2	0	0	0	0	3	1	0	0	1	4	2	2	3	2	1	1	2	1	4
hsa-miR-1291	162	207	265	75	38	74	141	169	98	24	32	42	30	12	47	80	53	27	24	34	28	22	33	45	27	39	33
hsa-miR-1292-5p	20	16	27	58	18	43	13	35	26	20	19	29	30	39	49	38	25	36	29	21	31	34	44	35	30	21	23
hsa-miR-1293	0	0	1	0	0	0	0	2	0	3	1	0	2	0	0	2	1	1	0	0	2	0	0	0	1	0	0
hsa-miR-1294	3	8	7	13	14	21	15	20	12	24	17	28	27	14	25	33	30	19	26	10	16	6	24	31	18	16	13
hsa-miR-1295a	0	1	1	30	9	29	10	11	16	6	3	2	20	6	23	3	6	4	2	1	1	9	6	4	2	0	5
hsa-miR-1295b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-1295b-5p	0	1	0	4	0	6	4	6	1	2	0	0	2	0	4	0	1	0	1	0	1	2	2	0	1	0	1
hsa-miR-1296-5p	559	567	736	915	440	872	739	999	654	875	414	447	1127	565	1488	1952	1373	1235	1048	1139	1321	601	1101	1140	720	628	1748
hsa-miR-1298-3p	353	313	397	187	98	165	237	289	247	367	302	330	96	62	103	417	366	252	258	374	368	26	28	28	202	316	273
hsa-miR-1298-5p	21376	20508	27213	8497	4307	8234	9643	12400	8022	6733	5750	5431	3558	2650	3914	4853	3926	2978	7413	8643	9421	861	938	946	3186	3556	3182
hsa-miR-1299	10	7	12	17	9	12	7	8	9	102	140	98	75	59	113	93	65	63	211	257	289	653	652	662	598	575	333
hsa-miR-1301-3p	131	104	182	425	291	401	274	290	214	357	271	340	546	366	643	592	394	390	202	245	242	373	543	577	304	309	415
hsa-miR-1302	11	6	15	25	2	11	21	22	15	37	15	13	25	8	22	52	53	29	50	48	53	9	21	28	23	44	71
hsa-miR-1303	22	35	39	33	15	25	13	11	13	28	15	21	28	14	31	20	13	8	9	15	14	6	29	17	12	11	20
hsa-miR-1304-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	3	2	2	1	8	0	0
hsa-miR-1304-5p	10	8	6	4	1	10	2	1	4	2	1	4	3	0	7	2	0	0	0	1	0	3	2	4	2	3	1
hsa-miR-1305	47	48	42	232	113	207	125	174	99	9	17	14	69	42	86	62	49	38	43	26	40	45	103	97	16	35	55
hsa-miR-1306-3p	10	10	8	22	3	27	8	8	5	6	9	7	9	14	18	13	4	9	5	6	6	6	15	13	14	7	8
hsa-miR-1306-5p	103	72	111	157	86	157	130	142	79	58	38	31	107	56	186	272	203	170	44	76	65	17	49	37	18	56	98
hsa-miR-1307-3p	697	704	990	1618	851	1582	879	1102	707	1427	1111	1648	1598	1003	2031	2355	1772	1616	1198	1463	1497	1018	1431	1621	1175	1427	1929
hsa-miR-1307-5p	209	257	357	374	84	464	284	426	130	152	66	88	209	58	233	429	287	163	218	267	208	89	244	269	114	164	314
